image_file_path,current_taken,new_value_source,new_value,format_used
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img036.jpg_original,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img047.jpg,2012-08-15 00:01:32,existing,2012-08-15 00:01:32,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img043.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img048.jpg,2012-08-15 00:03:40,existing,2012-08-15 00:03:40,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img040.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img042.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img041.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img044.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img032.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img045.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img031.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img036.jpg,2006-02-02 02:20:00,existing,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img035.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img033.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img039.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img046.jpg,2012-08-15 00:00:50,existing,2012-08-15 00:00:50,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img038.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img034.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
/home/storage/Diego-Ortiz/OneDrive/Pictures/Camera Roll/2012/20120815/img037.jpg,,exif_oldest,2006-02-02 02:20:00,%Y:%m:%d %H:%M:%S
